Q,H,P,Ph,ni,e,dHu
9.4,61.9273,22205.2,1583.09,0.071294,2.36225,2.36392
9.5,61.9296,22218,1600,0.0720136,2.33874,2.37171
9.6,61.932,22230.8,1616.9,0.0727325,2.31571,2.37958
9.7,61.9344,22243.6,1633.81,0.0734506,2.29316,2.38752
9.8,61.9368,22256.4,1650.71,0.0741679,2.27107,2.39556
9.9,61.9392,22269.3,1667.62,0.0748845,2.24942,2.40367
10,61.9415,22282.1,1684.53,0.0756002,2.22821,2.41187
10.1,61.9439,22294.9,1701.44,0.0763152,2.20742,2.42014
10.2,61.9463,22307.7,1718.35,0.0770295,2.18703,2.4285
10.3,61.9486,22320.6,1735.27,0.077743,2.16704,2.43695
10.4,61.951,22333.4,1752.18,0.0784557,2.14744,2.44547
10.5,61.9534,22346.2,1769.1,0.0791677,2.12821,2.45408
10.6,61.9557,22359,1786.01,0.0798789,2.10934,2.46277
10.7,61.9581,22371.8,1802.93,0.0805893,2.09082,2.47155
10.8,61.9605,22384.7,1819.85,0.081299,2.07265,2.4804
10.9,61.9628,22397.5,1836.77,0.082008,2.05481,2.48934
11,61.9652,22410.3,1853.69,0.0827161,2.0373,2.49836
11.1,61.9676,22423.1,1870.62,0.0834236,2.0201,2.50746
11.2,61.9699,22435.9,1887.54,0.0841302,2.00321,2.51664
11.3,61.9723,22448.8,1904.47,0.0848362,1.98661,2.52591
11.4,61.9747,22461.6,1921.39,0.0855413,1.97031,2.53526
11.5,61.977,22474.4,1938.32,0.0862457,1.95429,2.54469
11.6,61.9794,22487.2,1955.25,0.0869494,1.93855,2.55421
11.7,61.9817,22500,1972.18,0.0876523,1.92308,2.5638
11.8,61.9841,22512.9,1989.11,0.0883545,1.90787,2.57348
11.9,61.9864,22525.7,2006.05,0.089056,1.89291,2.58324
12,61.9888,22538.5,2022.98,0.0897567,1.87821,2.59309
12.1,61.9911,22551.3,2039.92,0.0904566,1.86374,2.60301
12.2,61.9935,22564.1,2056.85,0.0911558,1.84952,2.61302
12.3,61.9959,22577,2073.79,0.0918543,1.83552,2.62311
12.4,61.9982,22589.8,2090.73,0.0925521,1.82176,2.63329
12.5,62.0006,22602.6,2107.67,0.0932491,1.80821,2.64354
12.6,62.0029,22615.4,2124.61,0.0939453,1.79487,2.65388
12.7,62.0052,22628.3,2141.56,0.0946409,1.78175,2.6643
12.8,62.0076,22641.1,2158.5,0.0953356,1.76883,2.6748
12.9,62.0099,22653.9,2175.45,0.0960297,1.75611,2.68539
13,62.0123,22666.7,2192.39,0.096723,1.74359,2.69605
13.1,62.0146,22679.5,2209.34,0.0974157,1.73126,2.7068
13.2,62.017,22692.4,2226.29,0.0981075,1.71912,2.71764
13.3,62.0193,22705.2,2243.24,0.0987987,1.70715,2.72855
13.4,62.0217,22718,2260.19,0.0994891,1.69537,2.73955
13.5,62.024,22730.8,2277.15,0.100179,1.68376,2.75063
13.6,62.0263,22743.6,2294.1,0.100868,1.67232,2.76179
13.7,62.0287,22756.5,2311.06,0.101556,1.66105,2.77303
13.8,62.031,22769.3,2328.01,0.102244,1.64995,2.78436
13.9,62.0333,22782.1,2344.97,0.10293,1.639,2.79577
14,62.0357,22794.9,2361.93,0.103617,1.62821,2.80726
14.1,62.038,22807.7,2378.89,0.104302,1.61757,2.81883
14.2,62.0403,22820.6,2395.85,0.104987,1.60708,2.83049
14.3,62.0427,22833.4,2412.82,0.10567,1.59674,2.84223
14.4,62.045,22846.2,2429.78,0.106354,1.58654,2.85405
14.5,62.0473,22859,2446.74,0.107036,1.57648,2.86595
14.6,62.0497,22871.9,2463.71,0.107718,1.56656,2.87793
14.7,62.052,22884.7,2480.68,0.108399,1.55678,2.89
14.8,62.0543,22897.5,2497.65,0.10908,1.54713,2.90215
14.9,62.0566,22910.3,2514.62,0.109759,1.5376,2.91439
15,62.059,22923.1,2531.59,0.110438,1.52821,2.9267
15.1,62.0613,22936,2548.56,0.111116,1.51894,2.9391
15.2,62.0636,22948.8,2565.54,0.111794,1.50979,2.95158
15.3,62.0659,22961.6,2582.51,0.112471,1.50076,2.96414
15.4,62.0682,22974.4,2599.49,0.113147,1.49184,2.97678
15.5,62.0706,22987.2,2616.47,0.113823,1.48305,2.98951
15.6,62.0729,23000.1,2633.44,0.114497,1.47436,3.00232
15.7,62.0752,23012.9,2650.42,0.115171,1.46579,3.01521
15.8,62.0775,23025.7,2667.41,0.115845,1.45732,3.02818
15.9,62.0798,23038.5,2684.39,0.116517,1.44896,3.04124
16,62.0821,23051.3,2701.37,0.117189,1.44071,3.05438
16.1,62.0844,23064.2,2718.36,0.117861,1.43255,3.0676
16.2,62.0868,23077,2735.34,0.118531,1.4245,3.0809
16.3,62.0891,23089.8,2752.33,0.119201,1.41655,3.09429
16.4,62.0914,23102.6,2769.32,0.11987,1.40869,3.10776
16.5,62.0937,23115.4,2786.31,0.120539,1.40093,3.12131
16.6,62.096,23128.3,2803.3,0.121207,1.39327,3.13494
16.7,62.0983,23141.1,2820.29,0.121874,1.38569,3.14866
16.8,62.1006,23153.9,2837.28,0.12254,1.37821,3.16245
16.9,62.1029,23166.7,2854.28,0.123206,1.37081,3.17633
17,62.1052,23179.6,2871.27,0.123871,1.3635,3.1903
17.1,62.1075,23192.4,2888.27,0.124535,1.35628,3.20434
17.2,62.1098,23205.2,2905.27,0.125199,1.34914,3.21847
17.3,62.1121,23218,2922.27,0.125862,1.34208,3.23268
17.4,62.1144,23230.8,2939.27,0.126524,1.3351,3.24697
17.5,62.1167,23243.7,2956.27,0.127186,1.32821,3.26134
17.6,62.119,23256.5,2973.27,0.127847,1.32139,3.2758
17.7,62.1213,23269.3,2990.28,0.128507,1.31465,3.29034
17.8,62.1236,23282.1,3007.28,0.129167,1.30798,3.30496
17.9,62.1259,23294.9,3024.29,0.129826,1.30139,3.31966
18,62.1282,23307.8,3041.3,0.130484,1.29487,3.33445
18.1,62.1304,23320.6,3058.31,0.131142,1.28843,3.34932
18.2,62.1327,23333.4,3075.32,0.131799,1.28205,3.36427
18.3,62.135,23346.2,3092.33,0.132455,1.27575,3.3793
18.4,62.1373,23359,3109.34,0.133111,1.26951,3.39442
18.5,62.1396,23371.9,3126.35,0.133766,1.26334,3.40961
18.6,62.1419,23384.7,3143.37,0.13442,1.25724,3.4249
18.7,62.1442,23397.5,3160.38,0.135073,1.2512,3.44026
18.8,62.1464,23410.3,3177.4,0.135726,1.24523,3.4557
18.9,62.1487,23423.2,3194.42,0.136379,1.23932,3.47123
19,62.151,23436,3211.44,0.13703,1.23347,3.48684
19.1,62.1533,23448.8,3228.46,0.137681,1.22768,3.50253
19.2,62.1556,23461.6,3245.48,0.138332,1.22196,3.51831
19.3,62.1578,23474.4,3262.5,0.138981,1.21629,3.53416
19.4,62.1601,23487.3,3279.53,0.13963,1.21068,3.5501
19.5,62.1624,23500.1,3296.55,0.140278,1.20513,3.56612
19.6,62.1646,23512.9,3313.58,0.140926,1.19964,3.58223
19.7,62.1669,23525.7,3330.61,0.141573,1.1942,3.59841
19.8,62.1692,23538.5,3347.64,0.142219,1.18881,3.61468
19.9,62.1715,23551.4,3364.67,0.142865,1.18348,3.63103
20,62.1737,23564.2,3381.7,0.14351,1.17821,3.64747
20.1,62.176,23577,3398.73,0.144154,1.17298,3.66398
20.2,62.1783,23589.8,3415.76,0.144798,1.16781,3.68058
20.3,62.1805,23602.6,3432.8,0.145441,1.16269,3.69726
20.4,62.1828,23615.5,3449.83,0.146084,1.15762,3.71403
20.5,62.185,23628.3,3466.87,0.146725,1.1526,3.73087
20.6,62.1873,23641.1,3483.91,0.147367,1.14762,3.7478
20.7,62.1896,23653.9,3500.95,0.148007,1.1427,3.76481
20.8,62.1918,23666.7,3517.99,0.148647,1.13782,3.7819
20.9,62.1941,23679.6,3535.03,0.149286,1.13299,3.79908
21,62.1963,23692.4,3552.07,0.149925,1.12821,3.81633
21.1,62.1986,23705.2,3569.12,0.150563,1.12347,3.83367
21.2,62.2008,23718,3586.16,0.1512,1.11877,3.8511
21.3,62.2031,23730.9,3603.21,0.151836,1.11412,3.8686
21.4,62.2053,23743.7,3620.26,0.152472,1.10952,3.88619
21.5,62.2076,23756.5,3637.31,0.153108,1.10495,3.90386
21.6,62.2098,23769.3,3654.35,0.153743,1.10043,3.92161
21.7,62.2121,23782.1,3671.41,0.154377,1.09595,3.93944
21.8,62.2143,23795,3688.46,0.15501,1.09151,3.95736
21.9,62.2166,23807.8,3705.51,0.155643,1.08711,3.97536
22,62.2188,23820.6,3722.57,0.156275,1.08275,3.99344
22.1,62.2211,23833.4,3739.62,0.156907,1.07843,4.0116
22.2,62.2233,23846.2,3756.68,0.157538,1.07415,4.02985
22.3,62.2255,23859.1,3773.74,0.158168,1.06991,4.04817
22.4,62.2278,23871.9,3790.79,0.158797,1.06571,4.06659
22.5,62.23,23884.7,3807.85,0.159426,1.06154,4.08508
22.6,62.2322,23897.5,3824.92,0.160055,1.05741,4.10365
22.7001,62.2345,23910.3,3841.98,0.160683,1.05332,4.12231
22.8001,62.2367,23923.2,3859.04,0.16131,1.04926,4.14105
22.9001,62.2389,23936,3876.11,0.161936,1.04524,4.15987
23.0001,62.2412,23948.8,3893.17,0.162562,1.04125,4.17878
23.1001,62.2434,23961.6,3910.24,0.163188,1.0373,4.19776
23.2001,62.2456,23974.5,3927.31,0.163812,1.03338,4.21683
23.3001,62.2479,23987.3,3944.38,0.164436,1.02949,4.23599
23.4001,62.2501,24000.1,3961.45,0.16506,1.02564,4.25522
23.5001,62.2523,24012.9,3978.52,0.165682,1.02182,4.27454
23.6001,62.2545,24025.7,3995.59,0.166305,1.01804,4.29394
23.7001,62.2567,24038.6,4012.66,0.166926,1.01428,4.31342
23.8001,62.259,24051.4,4029.74,0.167547,1.01056,4.33298
23.9001,62.2612,24064.2,4046.81,0.168167,1.00687,4.35263
24.0001,62.2634,24077,4063.89,0.168787,1.00321,4.37236
24.1001,62.2656,24089.8,4080.97,0.169406,0.999576,4.39217
24.2001,62.2678,24102.7,4098.05,0.170025,0.995975,4.41206
24.3001,62.27,24115.5,4115.13,0.170643,0.992404,4.43204
24.4001,62.2723,24128.3,4132.21,0.17126,0.988863,4.45209
24.5001,62.2745,24141.1,4149.29,0.171877,0.98535,4.47223
24.6001,62.2767,24153.9,4166.38,0.172493,0.981865,4.49246
24.7001,62.2789,24166.8,4183.46,0.173108,0.978409,4.51276
24.8001,62.2811,24179.6,4200.55,0.173723,0.974981,4.53315
24.9001,62.2833,24192.4,4217.64,0.174337,0.97158,4.55362
25.0001,62.2855,24205.2,4234.72,0.174951,0.968207,4.57417
25.1001,62.2877,24218,4251.81,0.175564,0.96486,4.59481
25.2001,62.2899,24230.9,4268.9,0.176176,0.96154,4.61552
25.3001,62.2921,24243.7,4285.99,0.176788,0.958246,4.63632
25.4001,62.2943,24256.5,4303.09,0.177399,0.954979,4.6572
25.5001,62.2965,24269.3,4320.18,0.17801,0.951736,4.67817
25.6001,62.2987,24282.2,4337.28,0.17862,0.948519,4.69921
25.7001,62.3009,24295,4354.37,0.179229,0.945327,4.72034
25.8001,62.3031,24307.8,4371.47,0.179838,0.94216,4.74155
25.9001,62.3053,24320.6,4388.57,0.180446,0.939018,4.76285
26.0001,62.3075,24333.4,4405.67,0.181054,0.935899,4.78422
26.1001,62.3097,24346.3,4422.77,0.181661,0.932805,4.80568
26.2001,62.3119,24359.1,4439.87,0.182268,0.929734,4.82722
26.3001,62.314,24371.9,4456.97,0.182873,0.926686,4.84885
26.4001,62.3162,24384.7,4474.07,0.183479,0.923661,4.87055
26.5001,62.3184,24397.5,4491.18,0.184083,0.92066,4.89234
26.6001,62.3206,24410.4,4508.28,0.184687,0.917681,4.91421
26.7001,62.3228,24423.2,4525.39,0.185291,0.914724,4.93616
26.8001,62.325,24436,4542.5,0.185894,0.911789,4.9582
26.9001,62.3271,24448.8,4559.61,0.186496,0.908876,4.98031
27.0001,62.3293,24461.6,4576.72,0.187098,0.905985,5.00251
27.1001,62.3315,24474.5,4593.83,0.187699,0.903115,5.0248
27.2001,62.3337,24487.3,4610.94,0.188299,0.900266,5.04716
27.3001,62.3358,24500.1,4628.06,0.188899,0.897438,5.06961
27.4001,62.338,24512.9,4645.17,0.189499,0.89463,5.09214
27.5001,62.3402,24525.8,4662.29,0.190098,0.891843,5.11475
27.6001,62.3423,24538.6,4679.4,0.190696,0.889076,5.13744
27.7001,62.3445,24551.4,4696.52,0.191293,0.88633,5.16022
27.8001,62.3467,24564.2,4713.64,0.19189,0.883603,5.18308
27.9001,62.3488,24577,4730.76,0.192487,0.880895,5.20602
28.0001,62.351,24589.9,4747.88,0.193083,0.878207,5.22904
28.1001,62.3532,24602.7,4765,0.193678,0.875538,5.25215
28.2001,62.3553,24615.5,4782.12,0.194273,0.872888,5.27534
28.3001,62.3575,24628.3,4799.25,0.194867,0.870256,5.29861
28.4001,62.3597,24641.1,4816.37,0.195461,0.867644,5.32196
28.5001,62.3618,24654,4833.5,0.196054,0.865049,5.34539
28.6001,62.364,24666.8,4850.63,0.196646,0.862473,5.36891
28.7001,62.3661,24679.6,4867.76,0.197238,0.859914,5.39251
28.8001,62.3683,24692.4,4884.89,0.197829,0.857374,5.41619
28.9001,62.3704,24705.2,4902.02,0.19842,0.854851,5.43996
29.0001,62.3726,24718.1,4919.15,0.19901,0.852345,5.46381
29.1001,62.3747,24730.9,4936.28,0.1996,0.849856,5.48774
29.2001,62.3769,24743.7,4953.41,0.200189,0.847385,5.51175
29.3001,62.379,24756.5,4970.55,0.200777,0.84493,5.53584
29.4001,62.3812,24769.3,4987.68,0.201365,0.842493,5.56002
