Q	H	P	Ph	ni	e	dHu
0	103.6	25000	0	0	inf	2
0.1	103.605	25021.4	28.1759	0.00112607	250.214	2.00004
0.2	103.61	25042.9	56.3547	0.00225033	125.214	2.00016
0.3	103.615	25064.3	84.5362	0.00337277	83.5476	2.00037
0.4	103.62	25085.7	112.72	0.00449341	62.7143	2.00066
0.5	103.625	25107.1	140.907	0.00561224	50.2143	2.00103
0.6	103.63	25128.6	169.097	0.00672927	41.881	2.00148
0.7	103.635	25150	197.289	0.00784451	35.9286	2.00202
0.8	103.64	25171.4	225.484	0.00895795	31.4643	2.00264
0.9	103.645	25192.9	253.682	0.0100696	27.9921	2.00334
1	103.65	25214.3	281.882	0.0111795	25.2143	2.00412
1.1	103.655	25235.7	310.085	0.0122875	22.9416	2.00498
1.2	103.66	25257.1	338.29	0.0133938	21.0476	2.00593
1.3	103.665	25278.6	366.498	0.0144984	19.4451	2.00696
1.4	103.67	25300	394.709	0.0156011	18.0714	2.00807
1.5	103.674	25321.4	422.922	0.0167021	16.8809	2.00927
1.6	103.679	25342.9	451.137	0.0178014	15.8393	2.01054
1.7	103.684	25364.3	479.355	0.0188988	14.9202	2.0119
1.8	103.689	25385.7	507.575	0.0199945	14.1032	2.01334
1.9	103.693	25407.1	535.798	0.0210885	13.3722	2.01487
2	103.698	25428.6	564.023	0.0221807	12.7143	2.01647
2.1	103.703	25450	592.251	0.0232711	12.119	2.01816
2.2	103.707	25471.4	620.481	0.0243599	11.5779	2.01993
2.3	103.712	25492.9	648.713	0.0254468	11.0839	2.02179
2.4	103.716	25514.3	676.947	0.0265321	10.631	2.02372
2.5	103.721	25535.7	705.184	0.0276156	10.2143	2.02574
2.6	103.725	25557.1	733.423	0.0286974	9.82967	2.02784
2.7	103.73	25578.6	761.665	0.0297775	9.47355	2.03003
2.8	103.734	25600	789.908	0.0308558	9.14286	2.03229
2.9	103.739	25621.4	818.154	0.0319324	8.83498	2.03464
3	103.743	25642.9	846.402	0.0330073	8.54762	2.03707
3.1	103.747	25664.3	874.652	0.0340805	8.2788	2.03958
3.2	103.752	25685.7	902.905	0.035152	8.02679	2.04218
3.3	103.756	25707.1	931.159	0.0362218	7.79005	2.04485
3.4	103.76	25728.6	959.416	0.0372899	7.56723	2.04761
3.5	103.765	25750	987.674	0.0383563	7.35715	2.05045
3.6	103.769	25771.4	1015.94	0.039421	7.15873	2.05338
3.7	103.773	25792.9	1044.2	0.040484	6.97105	2.05638
3.8	103.777	25814.3	1072.46	0.0415453	6.79324	2.05947
3.9	103.781	25835.7	1100.73	0.042605	6.62455	2.06264
