Q	H	P	Ph	ni	e	dHu
28.1001	101.32	21312.5	7742.81	0.3633	0.758448	5.25215
28.2001	101.319	21331.4	7770.28	0.364266	0.756429	5.27534
28.3001	101.318	21350.3	7797.76	0.36523	0.754424	5.29861
28.4001	101.317	21369.2	7825.23	0.366193	0.752434	5.32196
28.5001	101.316	21388.1	7852.7	0.367153	0.750457	5.34539
28.6001	101.315	21407	7880.18	0.368113	0.748494	5.36891
28.7001	101.314	21425.9	7907.65	0.36907	0.746545	5.39251
28.8001	101.312	21444.8	7935.12	0.370026	0.744609	5.41619
28.9001	101.311	21463.7	7962.59	0.37098	0.742687	5.43996
29.0001	101.31	21482.6	7990.06	0.371932	0.740777	5.46381
29.1001	101.309	21501.5	8017.53	0.372882	0.738882	5.48774
29.2001	101.308	21520.4	8045	0.373831	0.736999	5.51175
29.3001	101.307	21539.3	8072.47	0.374778	0.735128	5.53584
29.4001	101.306	21558.2	8099.94	0.375724	0.733271	5.56002
29.5001	101.305	21577.1	8127.4	0.376668	0.731426	5.58428
29.6001	101.304	21596	8154.87	0.37761	0.729594	5.60862
29.7001	101.303	21614.9	8182.34	0.37855	0.727774	5.63304
29.8001	101.302	21633.8	8209.8	0.379489	0.725966	5.65755
29.9001	101.301	21652.8	8237.27	0.380426	0.72417	5.68214
30.0001	101.3	21671.7	8264.73	0.381361	0.722387	5.70681
30.1001	101.299	21690.6	8292.2	0.382295	0.720615	5.73156
30.2001	101.298	21709.5	8319.66	0.383227	0.718855	5.7564
30.3001	101.297	21728.4	8347.12	0.384158	0.717106	5.78132
30.4001	101.296	21747.3	8374.59	0.385087	0.715369	5.80632
30.5001	101.295	21766.2	8402.05	0.386014	0.713643	5.8314
30.6001	101.294	21785.1	8429.51	0.386939	0.711929	5.85656
30.7001	101.293	21804	8456.97	0.387863	0.710226	5.88181
30.8001	101.292	21822.9	8484.43	0.388786	0.708534	5.90714
30.9001	101.291	21841.8	8511.89	0.389706	0.706853	5.93255
31.0001	101.29	21860.7	8539.35	0.390625	0.705182	5.95805
31.1001	101.289	21879.6	8566.81	0.391543	0.703523	5.98362
31.2001	101.288	21898.5	8594.27	0.392459	0.701874	6.00928
31.3001	101.287	21917.4	8621.72	0.393373	0.700236	6.03503
31.4001	101.285	21936.3	8649.18	0.394286	0.698608	6.06085
31.5001	101.284	21955.2	8676.64	0.395197	0.69699	6.08676
31.6001	101.283	21974.1	8704.09	0.396106	0.695382	6.11275
31.7001	101.282	21993.1	8731.55	0.397014	0.693785	6.13882
31.8001	101.281	22012	8759	0.39792	0.692198	6.16497
31.9001	101.28	22030.9	8786.46	0.398825	0.690621	6.19121
32.0001	101.279	22049.8	8813.91	0.399728	0.689053	6.21752
32.1001	101.278	22068.7	8841.37	0.40063	0.687496	6.24392
32.2001	101.277	22087.6	8868.82	0.40153	0.685948	6.27041
32.3001	101.276	22106.5	8896.27	0.402428	0.68441	6.29697
32.4001	101.275	22125.4	8923.72	0.403325	0.682881	6.32362
32.5001	101.274	22144.3	8951.17	0.40422	0.681361	6.35035
32.6001	101.273	22163.2	8978.62	0.405114	0.679851	6.37716
32.7001	101.272	22182.1	9006.07	0.406006	0.67835	6.40406
32.8001	101.271	22201	9033.52	0.406897	0.676859	6.43103
32.9001	101.27	22219.9	9060.97	0.407786	0.675376	6.45809
33.0001	101.269	22238.8	9088.42	0.408674	0.673902	6.48523
33.1001	101.268	22257.7	9115.87	0.40956	0.672437	6.51246
33.2001	101.267	22276.6	9143.31	0.410444	0.670981	6.53976
33.3001	101.266	22295.5	9170.76	0.411327	0.669534	6.56715
33.4001	101.265	22314.4	9198.21	0.412209	0.668096	6.59462
33.5001	101.264	22333.3	9225.65	0.413089	0.666666	6.62218
33.6001	101.263	22352.2	9253.1	0.413967	0.665244	6.64981
33.7001	101.262	22371.2	9280.54	0.414844	0.663831	6.67753
33.8001	101.261	22390.1	9307.99	0.41572	0.662427	6.70533
33.9001	101.26	22409	9335.43	0.416594	0.66103	6.73321
34.0001	101.259	22427.9	9362.88	0.417466	0.659642	6.76118
34.1001	101.258	22446.8	9390.32	0.418337	0.658262	6.78923
34.2001	101.257	22465.7	9417.76	0.419207	0.65689	6.81736
34.3	101.256	22484.6	9445.2	0.420075	0.655526	6.84557
34.4	101.255	22503.5	9472.65	0.420941	0.65417	6.87386
34.5	101.254	22522.4	9500.09	0.421806	0.652822	6.90224
34.6	101.253	22541.3	9527.53	0.42267	0.651482	6.9307
34.7	101.252	22560.2	9554.97	0.423532	0.650149	6.95924
34.8	101.251	22579.1	9582.41	0.424393	0.648824	6.98787
34.9	101.25	22598	9609.85	0.425252	0.647507	7.01657
35	101.249	22616.9	9637.29	0.42611	0.646197	7.04536
35.1	101.248	22635.8	9664.73	0.426966	0.644895	7.07423
35.2	101.247	22654.7	9692.17	0.427821	0.6436	7.10319
35.3	101.246	22673.6	9719.6	0.428674	0.642312	7.13222
35.4	101.245	22692.5	9747.04	0.429526	0.641032	7.16134
35.5	101.244	22711.4	9774.48	0.430377	0.639759	7.19054
35.6	101.243	22730.4	9801.91	0.431226	0.638493	7.21983
35.7	101.242	22749.3	9829.35	0.432073	0.637234	7.24919
35.8	101.241	22768.2	9856.79	0.43292	0.635982	7.27864
35.9	101.24	22787.1	9884.22	0.433764	0.634737	7.30817
36	101.239	22806	9911.66	0.434608	0.633499	7.33778
36.1	101.238	22824.9	9939.09	0.43545	0.632268	7.36748
36.2	101.237	22843.8	9966.52	0.43629	0.631043	7.39726
36.3	101.236	22862.7	9993.96	0.43713	0.629826	7.42711
36.4	101.235	22881.6	10021.4	0.437967	0.628615	7.45706
36.5	101.234	22900.5	10048.8	0.438804	0.627411	7.48708
36.6	101.233	22919.4	10076.3	0.439639	0.626213	7.51719
36.7	101.232	22938.3	10103.7	0.440472	0.625022	7.54738
36.8	101.231	22957.2	10131.1	0.441304	0.623837	7.57765
36.9	101.23	22976.1	10158.6	0.442135	0.622659	7.608
37	101.229	22995	10186	0.442965	0.621487	7.63844
37.1	101.228	23013.9	10213.4	0.443793	0.620322	7.66896
37.2	101.227	23032.8	10240.8	0.444619	0.619162	7.69956
37.3	101.226	23051.7	10268.3	0.445444	0.618009	7.73024
37.4	101.225	23070.6	10295.7	0.446268	0.616862	7.76101
37.5	101.224	23089.6	10323.1	0.447091	0.615721	7.79186
37.6	101.223	23108.5	10350.6	0.447912	0.614587	7.82279
37.7	101.222	23127.4	10378	0.448732	0.613458	7.8538
37.8	101.221	23146.3	10405.4	0.44955	0.612335	7.8849
37.9	101.22	23165.2	10432.8	0.450367	0.611218	7.91607
38	101.219	23184.1	10460.3	0.451183	0.610107	7.94733
38.1	101.218	23203	10487.7	0.451998	0.609002	7.97868
38.2	101.217	23221.9	10515.1	0.452811	0.607903	8.0101
38.3	101.216	23240.8	10542.5	0.453622	0.606809	8.04161
